Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction,JobSatisfaction2,ConversionUSD
Australia,Male,27,Employed full-time,Academic,Bachelor's degree,Electrical Engineering,86000,AUD,Data Analyst,Fine,Python,Sort of (Explain more),26-50% of projects,6,6,0.7669
United States,Female,51,Employed full-time,Academic,Doctoral degree,Management information systems,133000,USD,Researcher,Fine,R,Yes,100% of projects,9,9,1
United States,Male,30,Employed full-time,Technology,Master's degree,A social science,50000,USD,Data Analyst,Fine,Python,Sort of (Explain more),10-25% of projects,5,5,1
India,Male,38,Employed full-time,Technology,Master's degree,Computer Science,35,INR,Computer Scientist,Fine,Python,Sort of (Explain more),26-50% of projects,8,8,0.0154
Mexico,Male,34,"Independent contractor, freelancer, or self-employed",Technology,Bachelor's degree,Computer Science,91000,USD,Business Analyst,Fine,Python,No,10-25% of projects,8,8,1
Australia,Male,43,Employed full-time,Government,Master's degree,Psychology,110,AUD,Statistician,Fine,R,Yes,51-75% of projects,8,8,0.7669
Japan,Male,29,Employed full-time,Technology,Bachelor's degree,Other,9300000,JPY,Engineer,Fine,Python,No,76-99% of projects,7,7,0.0089
Spain,Male,37,Employed full-time,Mix of fields,Doctoral degree,Computer Science,36000,EUR,Researcher,Poorly,Python,No,76-99% of projects,5,5,1.1304
India,Male,28,Employed full-time,Military/Security,Bachelor's degree,Electrical Engineering,800000,INR,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,4,4,0.0154
Netherlands,Male,52,Employed full-time,Mix of fields,Bachelor's degree,Other,65000,EUR,Other,Poorly,R,Sort of (Explain more),51-75% of projects,8,8,1.1304
India,Female,28,Employed full-time,Internet-based,Master's degree,"Information technology, networking, or system administration",2000000,INR,Other,Perfectly,R,No,76-99% of projects,6,6,0.0154
India,Female,35,Employed full-time,Technology,Master's degree,Mathematics or statistics,1800000,INR,Predictive Modeler,Perfectly,R,Sort of (Explain more),26-50% of projects,6,6,0.0154
Japan,Male,37,Employed full-time,Technology,Bachelor's degree,Computer Science,8000000,JPY,Software Developer/Software Engineer,Fine,Python,No,51-75% of projects,8,8,0.0089
Netherlands,Male,36,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Mathematics or statistics,110000,EUR,Other,Poorly,R,Sort of (Explain more),76-99% of projects,10 - Highly Satisfied,10,1.1304
Ukraine,Male,21,Employed part-time,Technology,Bachelor's degree,Mathematics or statistics,12000,USD,Machine Learning Engineer,Fine,C/C++/C#,Yes,10-25% of projects,5,5,1
United Kingdom,Male,50,Employed full-time,Other,Doctoral degree,"Information technology, networking, or system administration",117500,GBP,Machine Learning Engineer,Poorly,Python,Yes,76-99% of projects,8,8,1.289
United Kingdom,Male,47,Employed full-time,Technology,Doctoral degree,A health science,50000,GBP,Software Developer/Software Engineer,Poorly,Python,Sort of (Explain more),76-99% of projects,5,5,1.289
France,Male,27,Employed full-time,Manufacturing,Master's degree,Engineering (non-computer focused),45000,EUR,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,9,9,1.1304
Pakistan,Male,25,Employed full-time,Academic,Bachelor's degree,Electrical Engineering,40000,PKR,Machine Learning Engineer,Fine,R,No,10-25% of projects,1 - Highly Dissatisfied,1,0.0095
Republic of China,Male,28,Employed full-time,Financial,Master's degree,Computer Science,300000,CNY,Machine Learning Engineer,Fine,Python,No,10-25% of projects,7,7,0.148
Taiwan,Female,23,Employed full-time,Financial,Bachelor's degree,A social science,30000,TWD,Data Analyst,Fine,Python,Yes,100% of projects,1 - Highly Dissatisfied,1,0.0329
United Kingdom,Male,35,Employed full-time,Academic,Doctoral degree,Other,32000,GBP,Scientist/Researcher,Fine,R,Sort of (Explain more),100% of projects,8,8,1.289
Belgium,Male,36,Employed full-time,Retail,Doctoral degree,Physics,30000,EUR,Business Analyst,Poorly,R,Sort of (Explain more),Less than 10% of projects,1 - Highly Dissatisfied,1,1.1304
Other,Male,27,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Other,5000,GBP,Data Miner,Fine,C/C++/C#,No,None,3,3,1.289
France,Male,38,Employed full-time,Other,Doctoral degree,Engineering (non-computer focused),80000,EUR,Engineer,Poorly,Python,No,100% of projects,7,7,1.1304
Finland,Female,40,Employed full-time,Technology,Master's degree,Biology,40000,EUR,Scientist/Researcher,Fine,Python,Yes,76-99% of projects,7,7,1.1304
Australia,Male,24,Employed full-time,Financial,Bachelor's degree,Engineering (non-computer focused),98000,AUD,Business Analyst,Poorly,Python,No,100% of projects,7,7,0.7669
Ukraine,Male,31,Employed full-time,Internet-based,Master's degree,Computer Science,48000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,9,9,1
Greece,Female,30,Employed full-time,Mix of fields,Master's degree,Physics,25000,EUR,Data Analyst,Fine,R,Yes,76-99% of projects,5,5,1.1304
United States,Male,26,Employed full-time,Other,Bachelor's degree,Electrical Engineering,85000,USD,Engineer,Poorly,Python,No,51-75% of projects,3,3,1
India,Male,37,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,1700000,INR,Other,Perfectly,R,Sort of (Explain more),26-50% of projects,5,5,0.0154
Germany,Male,34,Employed full-time,Academic,Doctoral degree,Physics,50000,EUR,Scientist/Researcher,Perfectly,Python,Yes,None,10 - Highly Satisfied,10,1.1304
Germany,Male,57,Employed full-time,Academic,Doctoral degree,Physics,80000,EUR,Scientist/Researcher,Fine,C/C++/C#,Sort of (Explain more),100% of projects,7,7,1.1304
United States,Female,31,Employed full-time,Academic,Doctoral degree,A health science,47500,USD,Scientist/Researcher,Perfectly,SQL,No,100% of projects,1 - Highly Dissatisfied,1,1
United States,Male,48,Employed full-time,Insurance,Master's degree,Computer Science,130000,USD,Data Analyst,Poorly,R,Sort of (Explain more),51-75% of projects,1 - Highly Dissatisfied,1,1
India,Male,32,Employed full-time,Technology,Bachelor's degree,Computer Science,2000000,INR,Computer Scientist,Fine,Python,Sort of (Explain more),51-75% of projects,8,8,0.0154
Singapore,Male,26,Employed full-time,Government,Bachelor's degree,Mathematics or statistics,60000,SGD,Researcher,Poorly,R,No,10-25% of projects,1 - Highly Dissatisfied,1,0.7245
Taiwan,Male,45,Employed full-time,Manufacturing,Master's degree,Electrical Engineering,3000000,TWD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,5,5,0.0329
Switzerland,Female,57,Employed full-time,Academic,Doctoral degree,A humanities discipline,100000,CHF,Scientist/Researcher,Fine,Python,Sort of (Explain more),26-50% of projects,8,8,1.0163
Russia,Male,39,Employed full-time,Technology,Master's degree,Mathematics or statistics,1700000,RUB,Software Developer/Software Engineer,Perfectly,Python,No,10-25% of projects,8,8,0.0172
United States,Male,60,Employed full-time,Internet-based,Master's degree,Computer Science,75000,USD,Software Developer/Software Engineer,Fine,Python,No,51-75% of projects,8,8,1
United States,Male,31,Employed full-time,Academic,Doctoral degree,Electrical Engineering,85000,USD,Researcher,Fine,Python,Yes,100% of projects,10 - Highly Satisfied,10,1
United Kingdom,Male,41,Employed full-time,Government,Bachelor's degree,Psychology,55000,GBP,Other,Fine,R,No,100% of projects,6,6,1.289
United States,Male,36,Employed full-time,Insurance,Master's degree,Mathematics or statistics,210000,USD,Predictive Modeler,Fine,Python,Sort of (Explain more),Less than 10% of projects,7,7,1
Canada,Male,43,Employed full-time,Internet-based,Bachelor's degree,Other,140000,CAD,Machine Learning Engineer,Perfectly,Python,Yes,76-99% of projects,9,9,0.7713
Other,Male,27,Employed full-time,Mix of fields,Master's degree,Computer Science,10000,EUR,Programmer,Poorly,C/C++/C#,No,Less than 10% of projects,1 - Highly Dissatisfied,1,1.1304
United States,Female,47,Employed full-time,Financial,Master's degree,Mathematics or statistics,67500,USD,Data Miner,Fine,SQL,No,51-75% of projects,7,7,1
Spain,Male,26,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Mathematics or statistics,27000,EUR,Statistician,Poorly,Python,Yes,10-25% of projects,6,6,1.1304
United States,Male,33,Employed full-time,Insurance,Bachelor's degree,Mathematics or statistics,95000,USD,Other,Perfectly,R,No,100% of projects,7,7,1
Russia,Male,33,Employed full-time,Mix of fields,Master's degree,Computer Science,600000,RUB,Other,Fine,Python,Yes,51-75% of projects,5,5,0.0172
India,Male,35,Employed full-time,Financial,Bachelor's degree,Computer Science,40000,USD,Business Analyst,Fine,Python,Sort of (Explain more),76-99% of projects,5,5,1
India,Male,36,"Independent contractor, freelancer, or self-employed",Financial,Doctoral degree,Electrical Engineering,4500000,INR,Statistician,Perfectly,Python,Sort of (Explain more),76-99% of projects,7,7,0.0154
United States,Male,32,Employed full-time,Financial,Master's degree,Electrical Engineering,85000,USD,Software Developer/Software Engineer,Perfectly,Java,Yes,Less than 10% of projects,5,5,1
United States,Male,41,Employed full-time,Pharmaceutical,Master's degree,Computer Science,240000,USD,Other,Fine,Python,No,100% of projects,8,8,1
Brazil,Male,22,Employed part-time,Technology,Bachelor's degree,Computer Science,60000,BRL,DBA/Database Engineer,Fine,Python,Sort of (Explain more),26-50% of projects,9,9,0.3134
Germany,Male,49,Employed full-time,Financial,Master's degree,Mathematics or statistics,100000,EUR,Data Analyst,Poorly,SQL,Yes,76-99% of projects,7,7,1.1304
United States,Male,52,Employed full-time,Other,Doctoral degree,Electrical Engineering,0,USD,Other,Fine,SQL,Sort of (Explain more),100% of projects,5,5,1
United States,Female,47,Employed full-time,Hospitality/Entertainment/Sports,Doctoral degree,Electrical Engineering,175000,USD,Statistician,Fine,R,Sort of (Explain more),Less than 10% of projects,10 - Highly Satisfied,10,1
Other,Male,23,Employed full-time,Financial,Bachelor's degree,Computer Science,15000,EUR,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,6,6,1.1304
United States,A different identity,48,Employed full-time,Mix of fields,Doctoral degree,Computer Science,150000,USD,Computer Scientist,Fine,Python,Yes,Less than 10% of projects,7,7,1
France,Male,49,Employed full-time,Financial,Doctoral degree,Computer Science,60000,EUR,Engineer,Fine,Python,Yes,100% of projects,8,8,1.1304
United States,Male,26,Employed full-time,Non-profit,Bachelor's degree,Other,50000,USD,Data Analyst,Perfectly,Python,Yes,51-75% of projects,5,5,1
Poland,Male,56,Employed full-time,Academic,Master's degree,Physics,60000,PLN,Programmer,Perfectly,R,No,10-25% of projects,10 - Highly Satisfied,10,0.2656
United States,Male,34,Employed full-time,Technology,Doctoral degree,Physics,195000,USD,Other,Fine,Python,Yes,76-99% of projects,10 - Highly Satisfied,10,1
United States,Female,41,Employed full-time,Other,Doctoral degree,Other,140000,USD,Other,Poorly,Python,Yes,100% of projects,8,8,1
Spain,Male,47,Employed full-time,Other,Master's degree,Computer Science,100000,EUR,Other,Fine,R,Sort of (Explain more),Less than 10% of projects,10 - Highly Satisfied,10,1.1304
Other,Male,52,Employed full-time,Manufacturing,Master's degree,Computer Science,36000,USD,Operations Research Practitioner,Fine,R,No,None,7,7,1
Italy,Male,33,Employed full-time,Other,Bachelor's degree,A humanities discipline,30000,EUR,Other,Poorly,R,No,26-50% of projects,5,5,1.1304
United States,Female,33,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),55900,USD,Scientist/Researcher,Fine,Python,No,76-99% of projects,9,9,1
United States,Male,40,Employed full-time,Non-profit,Bachelor's degree,Computer Science,103000,USD,Engineer,Fine,SQL,Yes,76-99% of projects,8,8,1
United Kingdom,Male,30,Employed full-time,Academic,Doctoral degree,Other,42000,GBP,Scientist/Researcher,Fine,Python,Yes,76-99% of projects,1 - Highly Dissatisfied,1,1.289
Russia,Male,21,Employed full-time,Mix of fields,Some college/university study without earning a bachelor's degree,Physics,40000,RUB,Predictive Modeler,Poorly,Python,No,100% of projects,8,8,0.0172
United States,Male,25,Employed full-time,Technology,Master's degree,Computer Science,82500,USD,Data Analyst,Poorly,Python,Sort of (Explain more),26-50% of projects,6,6,1
Russia,Male,60,Employed full-time,Telecommunications,Doctoral degree,Physics,200000,RUB,Machine Learning Engineer,Perfectly,Python,Yes,100% of projects,6,6,0.0172
United States,Female,24,Employed full-time,Technology,Master's degree,Electrical Engineering,140000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,9,9,1
United States,Female,37,Employed full-time,Other,Bachelor's degree,Computer Science,150000,USD,Computer Scientist,Fine,R,No,76-99% of projects,10 - Highly Satisfied,10,1
Mexico,Male,36,Employed full-time,Technology,Master's degree,Engineering (non-computer focused),200000,MXN,Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,10 - Highly Satisfied,10,0.053
United Kingdom,Male,27,Employed full-time,Financial,Master's degree,Other,43000,GBP,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,8,8,1.289
United States,Male,31,Employed part-time,Other,Master's degree,Psychology,25000,USD,Data Analyst,Fine,R,Yes,26-50% of projects,8,8,1
United States,Male,30,Employed part-time,Academic,Bachelor's degree,A humanities discipline,20000,USD,Other,Fine,Python,Sort of (Explain more),100% of projects,9,9,1
United States,Male,40,Employed full-time,Financial,Master's degree,A social science,70000,USD,Business Analyst,Poorly,R,Yes,76-99% of projects,8,8,1
United States,Male,28,Employed full-time,Academic,Bachelor's degree,Computer Science,110000,USD,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,6,6,1
Canada,Male,38,Employed full-time,Government,Master's degree,Other,82000,CAD,Scientist/Researcher,Fine,R,Sort of (Explain more),51-75% of projects,8,8,0.7713
United States,Male,25,Employed part-time,Academic,Bachelor's degree,Computer Science,36000,USD,Computer Scientist,Fine,Python,No,26-50% of projects,7,7,1
United States,Female,25,Employed full-time,Technology,Master's degree,Computer Science,90000,USD,Predictive Modeler,Fine,Python,Sort of (Explain more),Less than 10% of projects,3,3,1
United States,Male,67,Employed full-time,Academic,Doctoral degree,A humanities discipline,120000,USD,Computer Scientist,Fine,Python,Yes,76-99% of projects,8,8,1
United States,Male,28,Employed full-time,Manufacturing,Master's degree,Electrical Engineering,70700,USD,Data Analyst,Perfectly,Python,Sort of (Explain more),Less than 10% of projects,4,4,1
Germany,Male,23,Employed part-time,Internet-based,Master's degree,Computer Science,11000,EUR,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,9,9,1.1304
United States,Male,34,Employed full-time,Mix of fields,Bachelor's degree,Electrical Engineering,350000,USD,Researcher,Fine,Python,Sort of (Explain more),100% of projects,3,3,1
United Kingdom,Male,32,Employed full-time,Internet-based,Master's degree,Computer Science,90000,GBP,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,7,7,1.289
Brazil,Male,28,Employed full-time,Telecommunications,Bachelor's degree,Other,56200,BRL,Other,Poorly,Python,No,10-25% of projects,1 - Highly Dissatisfied,1,0.3134
United States,Male,49,Employed full-time,Internet-based,Doctoral degree,Mathematics or statistics,230000,USD,Statistician,Fine,Python,Yes,100% of projects,10 - Highly Satisfied,10,1
United States,Male,36,Employed full-time,Manufacturing,Master's degree,Electrical Engineering,120000,USD,Engineer,Fine,Python,No,76-99% of projects,5,5,1
United States,Male,22,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,78000,USD,Researcher,Perfectly,Python,No,10-25% of projects,8,8,1
United States,Male,28,Employed full-time,Technology,Master's degree,Mathematics or statistics,160000,USD,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,8,8,1
United States,Male,57,Employed full-time,Manufacturing,Doctoral degree,Electrical Engineering,130000,USD,Engineer,Perfectly,Matlab,Sort of (Explain more),76-99% of projects,7,7,1
United States,Male,46,Employed full-time,Internet-based,Bachelor's degree,Engineering (non-computer focused),192000,USD,Engineer,Fine,R,No,100% of projects,3,3,1
Taiwan,Male,28,Employed full-time,Technology,Master's degree,Engineering (non-computer focused),600000,TWD,Data Analyst,Fine,Python,Yes,51-75% of projects,7,7,0.0329
United States,Male,39,Employed full-time,Government,Master's degree,Other,177000,USD,Other,Fine,Python,Sort of (Explain more),100% of projects,9,9,1
United States,Male,56,"Independent contractor, freelancer, or self-employed",Manufacturing,Doctoral degree,Physics,240000,USD,Engineer,Fine,Matlab,Sort of (Explain more),76-99% of projects,5,5,1
United States,Female,39,Employed full-time,Government,Master's degree,Biology,75000,USD,Other,Fine,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied,10,1
Other,Male,31,Employed full-time,Financial,Doctoral degree,Mathematics or statistics,27500,EUR,Business Analyst,Fine,R,Sort of (Explain more),26-50% of projects,4,4,1.1304
United States,Male,21,Employed full-time,Technology,Bachelor's degree,Mathematics or statistics,115000,USD,Data Analyst,Perfectly,Python,No,51-75% of projects,8,8,1
India,Male,21,Employed full-time,Financial,Bachelor's degree,"Information technology, networking, or system administration",1400000,INR,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,7,7,0.0154
United States,Male,35,Employed full-time,Other,Master's degree,Mathematics or statistics,65000,USD,Data Analyst,Fine,Python,Yes,51-75% of projects,10 - Highly Satisfied,10,1
India,Male,27,Employed full-time,Retail,Bachelor's degree,Computer Science,100000,INR,DBA/Database Engineer,Fine,SQL,Sort of (Explain more),10-25% of projects,7,7,0.0154
Other,Male,37,"Independent contractor, freelancer, or self-employed",Other,Master's degree,Computer Science,250000,USD,Software Developer/Software Engineer,Fine,Matlab,No,100% of projects,9,9,1
Italy,Male,26,Employed full-time,Academic,Master's degree,Computer Science,12000,EUR,Researcher,Fine,Python,Yes,10-25% of projects,6,6,1.1304
Italy,Male,46,Employed full-time,Academic,Doctoral degree,Computer Science,43000,EUR,Scientist/Researcher,Fine,Python,Yes,51-75% of projects,8,8,1.1304
Netherlands,Male,21,Employed full-time,Financial,Bachelor's degree,Computer Science,50000,EUR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,10 - Highly Satisfied,10,1.1304
Italy,Male,32,Employed full-time,Telecommunications,Master's degree,"Information technology, networking, or system administration",30000,EUR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,6,6,1.1304
United States,Male,55,Employed full-time,Government,Master's degree,Physics,115000,USD,Operations Research Practitioner,Fine,R,Sort of (Explain more),76-99% of projects,8,8,1
Ukraine,Male,23,Employed full-time,Technology,Master's degree,Physics,15000,USD,Other,Fine,Scala,Yes,76-99% of projects,9,9,1
United States,Male,39,Employed full-time,Government,Doctoral degree,Engineering (non-computer focused),85000,USD,Statistician,Fine,SAS,Sort of (Explain more),26-50% of projects,8,8,1
Spain,Male,26,Employed full-time,Technology,Master's degree,Engineering (non-computer focused),41500,EUR,Data Analyst,Fine,Python,No,26-50% of projects,6,6,1.1304
Poland,Female,27,Employed full-time,Academic,Master's degree,Computer Science,23000,PLN,Scientist/Researcher,Fine,Python,No,76-99% of projects,3,3,0.2656
United Kingdom,Male,39,Employed full-time,Academic,Bachelor's degree,"Information technology, networking, or system administration",47000,GBP,Business Analyst,Poorly,Python,Sort of (Explain more),76-99% of projects,7,7,1.289
United States,Male,26,Employed full-time,Internet-based,Bachelor's degree,Computer Science,136000,USD,Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,8,8,1
United States,Female,30,Employed full-time,Other,Doctoral degree,Mathematics or statistics,70000,USD,Data Analyst,Fine,Python,Yes,10-25% of projects,6,6,1
Ukraine,Male,24,Employed full-time,Internet-based,Bachelor's degree,Mathematics or statistics,51000,USD,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,9,9,1
Spain,Male,49,"Independent contractor, freelancer, or self-employed",Technology,Doctoral degree,Other,40000,EUR,Engineer,Fine,Matlab,No,None,9,9,1.1304
Mexico,Male,36,Employed full-time,Academic,Master's degree,Electrical Engineering,300000,MXN,Researcher,Fine,Python,Yes,76-99% of projects,8,8,0.053
Colombia,Male,38,Employed full-time,Technology,Doctoral degree,Mathematics or statistics,12000000,COP,Scientist/Researcher,Fine,Python,No,100% of projects,9,9,3e-4
Italy,Male,42,Employed full-time,Other,Bachelor's degree,Physics,40000,EUR,Software Developer/Software Engineer,Poorly,Python,No,Less than 10% of projects,5,5,1.1304
United States,Male,29,Employed full-time,Government,Master's degree,A social science,80000,USD,Researcher,Fine,R,Yes,100% of projects,7,7,1
Brazil,Male,44,Employed full-time,Technology,Doctoral degree,Engineering (non-computer focused),300000,BRL,Machine Learning Engineer,Fine,R,Yes,None,8,8,0.3134
United States,Male,28,Employed full-time,Financial,Bachelor's degree,Mathematics or statistics,80000,USD,Data Analyst,Fine,Python,No,10-25% of projects,6,6,1
United States,Male,50,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),55000,USD,Computer Scientist,Perfectly,C/C++/C#,Sort of (Explain more),76-99% of projects,2,2,1
United States,Female,48,Employed full-time,Government,Master's degree,Management information systems,126000,USD,Data Analyst,Fine,SQL,Yes,26-50% of projects,4,4,1
Brazil,Male,35,Employed full-time,Technology,Bachelor's degree,Computer Science,240000,BRL,Software Developer/Software Engineer,Fine,Python,Yes,26-50% of projects,7,7,0.3134
Brazil,Male,34,"Independent contractor, freelancer, or self-employed",Retail,Doctoral degree,Electrical Engineering,60000,BRL,Scientist/Researcher,Fine,Python,Yes,51-75% of projects,7,7,0.3134
Australia,Male,50,"Independent contractor, freelancer, or self-employed",Insurance,Master's degree,Mathematics or statistics,310000,AUD,Data Miner,Fine,Python,Sort of (Explain more),Less than 10% of projects,9,9,0.7669
France,Male,23,Employed full-time,Financial,Master's degree,Other,80000,EUR,Statistician,Poorly,Other,Yes,26-50% of projects,8,8,1.1304
United States,Male,54,"Independent contractor, freelancer, or self-employed",Military/Security,Doctoral degree,Mathematics or statistics,150000,USD,Predictive Modeler,Poorly,Python,Sort of (Explain more),Less than 10% of projects,8,8,1
United States,Male,50,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),120000,USD,Operations Research Practitioner,Fine,R,Sort of (Explain more),76-99% of projects,6,6,1
Australia,Male,27,Employed full-time,Insurance,Master's degree,Mathematics or statistics,60000,AUD,Data Miner,Fine,R,Yes,76-99% of projects,10 - Highly Satisfied,10,0.7669
United States,Male,31,Employed full-time,Military/Security,Some college/university study without earning a bachelor's degree,Computer Science,71000,USD,Other,Poorly,Python,No,51-75% of projects,8,8,1
United States,Male,46,Employed full-time,Other,Master's degree,Biology,175000,USD,Other,Perfectly,Python,No,Less than 10% of projects,7,7,1
United States,Female,34,Employed full-time,Pharmaceutical,Doctoral degree,Mathematics or statistics,240000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),51-75% of projects,10 - Highly Satisfied,10,1
India,Male,34,Employed full-time,Technology,Master's degree,Other,3200000,INR,Business Analyst,Fine,R,Sort of (Explain more),100% of projects,1 - Highly Dissatisfied,1,0.0154
India,Male,35,Employed full-time,Insurance,Master's degree,Engineering (non-computer focused),3100000,INR,Data Analyst,Fine,R,No,76-99% of projects,8,8,0.0154
Germany,Female,29,Employed full-time,Retail,Master's degree,Computer Science,46000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,Less than 10% of projects,5,5,1.1304
Russia,Female,32,Employed full-time,Mix of fields,Doctoral degree,Computer Science,10000,RUB,Scientist/Researcher,Fine,Python,Yes,51-75% of projects,3,3,0.0172
India,Male,23,Employed full-time,Other,Bachelor's degree,Engineering (non-computer focused),825000,INR,Business Analyst,Fine,R,No,51-75% of projects,5,5,0.0154
Japan,Male,39,Employed full-time,Manufacturing,Master's degree,Computer Science,8000000,JPY,Researcher,Fine,Python,No,51-75% of projects,3,3,0.0089
Germany,Male,33,Employed full-time,Academic,Doctoral degree,Computer Science,60000,EUR,Researcher,Fine,Python,Yes,100% of projects,8,8,1.1304
Italy,Male,42,Employed full-time,Mix of fields,Some college/university study without earning a bachelor's degree,Computer Science,38000,EUR,Researcher,Fine,Python,No,26-50% of projects,7,7,1.1304
India,Male,29,Employed full-time,Retail,Bachelor's degree,Computer Science,450000,INR,Data Analyst,Fine,R,No,100% of projects,4,4,0.0154
India,Female,24,Employed full-time,Pharmaceutical,Bachelor's degree,Computer Science,1200000,INR,Data Analyst,Fine,SQL,Sort of (Explain more),51-75% of projects,6,6,0.0154
Switzerland,Male,45,Employed full-time,Internet-based,Bachelor's degree,"Information technology, networking, or system administration",125000,CHF,Business Analyst,Poorly,R,Sort of (Explain more),51-75% of projects,8,8,1.0163
United States,Male,39,Employed full-time,Financial,Doctoral degree,Mathematics or statistics,200000,USD,Researcher,Poorly,R,Yes,76-99% of projects,8,8,1
Germany,Male,55,Employed full-time,Other,Master's degree,Computer Science,100000,EUR,Machine Learning Engineer,Perfectly,Python,Sort of (Explain more),10-25% of projects,9,9,1.1304
Italy,Male,63,Employed full-time,Academic,Master's degree,Mathematics or statistics,100000,EUR,Scientist/Researcher,Perfectly,Python,Yes,10-25% of projects,10 - Highly Satisfied,10,1.1304
Taiwan,Male,34,Employed full-time,Technology,Master's degree,Management information systems,70000,USD,Machine Learning Engineer,Fine,Python,Yes,51-75% of projects,6,6,1
United States,Male,31,Employed full-time,Technology,Bachelor's degree,Mathematics or statistics,120000,USD,Data Analyst,Fine,R,Yes,100% of projects,7,7,1
United States,Male,31,Employed full-time,Internet-based,Master's degree,"Information technology, networking, or system administration",350000,USD,Software Developer/Software Engineer,Fine,Python,No,26-50% of projects,7,7,1
Other,Male,39,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,18000,EUR,Statistician,Poorly,R,Yes,76-99% of projects,8,8,1.1304
United States,Female,43,Employed full-time,Government,Doctoral degree,Physics,135000,USD,Engineer,Poorly,Python,Sort of (Explain more),51-75% of projects,8,8,1
United States,Female,40,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,152000,USD,Engineer,Perfectly,Python,No,76-99% of projects,9,9,1
United States,Male,25,Employed full-time,Manufacturing,Master's degree,A social science,74800,USD,Predictive Modeler,Fine,Python,Sort of (Explain more),26-50% of projects,5,5,1
Germany,Male,41,Employed full-time,CRM/Marketing,Bachelor's degree,Computer Science,55000,EUR,Other,Perfectly,Python,Sort of (Explain more),51-75% of projects,4,4,1.1304
Other,Male,24,Employed full-time,CRM/Marketing,Bachelor's degree,Computer Science,38000,BRL,Data Analyst,Poorly,Python,Sort of (Explain more),26-50% of projects,5,5,0.3134
Other,Female,22,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Computer Science,4000,EUR,Predictive Modeler,Fine,Python,Sort of (Explain more),100% of projects,9,9,1.1304
United States,Male,34,Employed full-time,Government,Doctoral degree,Psychology,77900,USD,Scientist/Researcher,Fine,R,Yes,51-75% of projects,7,7,1
United States,Male,22,Employed full-time,Insurance,Bachelor's degree,A social science,65000,USD,Data Analyst,Fine,R,No,76-99% of projects,7,7,1
United States,Female,23,Employed full-time,Non-profit,Master's degree,Other,68000,USD,Data Analyst,Fine,Python,Sort of (Explain more),51-75% of projects,7,7,1
France,Male,26,Employed full-time,Retail,Master's degree,Mathematics or statistics,46000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,26-50% of projects,8,8,1.1304
United States,Male,45,Employed full-time,Insurance,Master's degree,Engineering (non-computer focused),200000,USD,Statistician,Fine,Python,Sort of (Explain more),Less than 10% of projects,8,8,1
Japan,Male,28,Employed full-time,Financial,Master's degree,Mathematics or statistics,7000000,JPY,Data Analyst,Poorly,R,No,26-50% of projects,8,8,0.0089
Australia,Male,32,Employed full-time,Mix of fields,Some college/university study without earning a bachelor's degree,Electrical Engineering,137000,AUD,Other,Poorly,R,Yes,100% of projects,5,5,0.7669
United States,Female,27,Employed full-time,Academic,Master's degree,Mathematics or statistics,30000,USD,Statistician,Perfectly,Python,Yes,26-50% of projects,4,4,1
Hong Kong,"Non-binary, genderqueer, or gender non-conforming",40,"Independent contractor, freelancer, or self-employed",Other,Master's degree,"Information technology, networking, or system administration",10000,USD,Data Analyst,Fine,Python,Sort of (Explain more),Less than 10% of projects,6,6,1
